 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,filename
0.49,0.36,0.7,0.35,0.88,0.71,0.75,0.78,0.93,0.88,0.52,0.44,0.85,0.38,0.9,0.71,0.62,S026_006_00000013_HPY.csv
0.44,0.24,0.79,0.35,0.7,0.95,0.67,0.51,0.43,0.57,0.51,0.65,0.62,0.47,0.56,0.58,0.64,S126_008_00000029_ANG.csv
0.5,0.36,0.61,0.45,0.79,0.91,0.69,0.83,0.93,0.84,0.43,0.27,0.72,0.35,0.94,0.63,0.68,S097_006_00000018_HPY.csv
0.87,0.94,0.26,0.74,0.13,0.79,0.39,0.21,0.48,0.4,0.77,0.6,0.41,0.34,0.66,0.81,0.53,S081_001_00000017_SUR.csv
0.17,0.09,0.38,0.19,0.48,0.83,0.72,0.24,0.51,0.78,0.73,0.66,0.81,0.47,0.34,0.55,0.39,S028_001_00000024_ANG.csv
0.42,0.24,0.32,0.31,0.89,0.7,0.54,0.85,0.96,0.81,0.66,0.42,0.86,0.37,0.94,0.66,0.72,S124_007_00000023_HPY.csv
0.61,0.33,0.61,0.49,0.66,0.54,0.51,0.45,0.62,0.69,0.68,0.48,0.98,0.41,0.84,0.48,0.52,S054_002_00000013_FER.csv
0.26,0.14,0.22,0.11,0.85,0.78,0.44,0.81,0.96,0.77,0.33,0.24,0.74,0.35,0.95,0.67,0.64,S052_004_00000032_HPY.csv
0.73,0.8,0.21,0.99,0.16,0.21,0.16,0.17,0.42,0.25,0.63,0.69,0.78,0.59,0.3,0.61,0.34,S124_001_00000014_SUR.csv
0.37,0.12,0.31,0.37,0.72,0.97,0.64,0.71,0.87,0.65,0.5,0.16,0.61,0.41,0.88,0.38,0.47,S044_003_00000014_HPY.csv
0.61,0.43,0.51,0.36,0.23,0.4,0.41,0.35,0.35,0.21,0.87,0.71,0.59,0.43,0.38,0.3,0.44,S115_004_00000016_SAD.csv
0.54,0.18,0.4,0.14,0.85,0.73,0.63,0.63,0.93,0.76,0.37,0.22,0.61,0.36,0.87,0.28,0.34,S072_006_00000022_HPY.csv
0.29,0.08,0.34,0.17,0.89,0.78,0.53,0.85,0.91,0.88,0.47,0.49,0.93,0.42,0.91,0.71,0.32,S131_006_00000022_HPY.csv
0.23,0.05,0.21,0.16,0.78,0.99,0.56,0.49,0.94,0.88,0.46,0.38,0.8,0.49,0.69,0.49,0.46,S034_005_00000010_HPY.csv
0.23,0.18,0.35,0.23,0.7,0.86,0.67,0.75,0.84,0.61,0.53,0.24,0.64,0.29,0.86,0.69,0.55,S064_003_00000024_HPY.csv
0.42,0.17,0.69,0.47,0.39,0.85,0.75,0.37,0.27,0.46,0.6,0.54,0.57,0.5,0.42,0.47,0.72,S087_007_00000015_ANG.csv
0.88,0.86,0.21,0.99,0.11,0.46,0.21,0.15,0.32,0.08,0.65,0.22,0.71,0.13,0.88,0.82,0.16,S082_001_00000014_SUR.csv
0.58,0.24,0.85,0.47,0.72,0.86,0.62,0.62,0.67,0.5,0.64,0.45,0.89,0.43,0.82,0.48,0.51,S117_003_00000013_FER.csv
0.67,0.34,0.44,0.33,0.2,0.4,0.41,0.15,0.29,0.21,0.82,0.73,0.55,0.41,0.26,0.25,0.43,S066_004_00000008_SAD.csv
0.52,0.34,0.79,0.35,0.7,0.86,0.5,0.6,0.9,0.76,0.33,0.29,0.91,0.4,0.9,0.52,0.59,S076_006_00000019_HPY.csv
0.49,0.54,0.41,0.18,0.27,0.37,0.56,0.55,0.59,0.75,0.64,0.5,0.81,0.43,0.47,0.65,0.68,S129_002_00000009_SUR.csv
0.43,0.17,0.85,0.47,0.53,0.9,0.51,0.15,0.27,0.5,0.73,0.63,0.77,0.5,0.27,0.32,0.52,S042_004_00000019_ANG.csv
0.49,0.27,0.82,0.27,0.33,0.5,0.6,0.5,0.43,0.44,0.88,0.73,0.61,0.43,0.33,0.45,0.47,S108_005_00000022_SAD.csv
0.72,0.65,0.32,0.92,0.09,0.58,0.29,0.17,0.24,0.14,0.82,0.75,0.54,0.34,0.51,0.63,0.15,S080_001_00000018_SUR.csv
0.86,0.96,0.44,0.91,0.19,0.33,0.18,0.18,0.41,0.12,0.63,0.33,0.59,0.32,0.72,0.37,0.26,S136_001_00000018_SUR.csv
0.93,0.96,0.18,0.76,0.16,0.81,0.15,0.13,0.4,0.19,0.68,0.31,0.67,0.2,0.71,0.63,0.5,S037_001_00000018_SUR.csv
0.36,0.1,0.17,0.31,0.64,0.96,0.46,0.57,0.92,0.55,0.33,0.09,0.48,0.27,0.93,0.54,0.73,S037_006_00000020_HPY.csv
0.72,0.53,0.44,0.77,0.09,0.05,0.08,0.18,0.34,0.23,0.7,0.61,0.76,0.45,0.58,0.54,0.63,S011_001_00000014_SUR.csv
0.37,0.24,0.64,0.34,0.28,0.32,0.61,0.33,0.26,0.35,0.59,0.59,0.55,0.54,0.26,0.38,0.55,S130_007_00000018_ANG.csv
0.74,0.9,0.29,1,0.18,0.32,0.29,0.21,0.31,0.21,0.72,0.45,0.74,0.29,0.77,0.67,0.25,S065_003_00000020_SUR.csv
0.27,0.22,0.94,0.34,0.5,0.36,0.55,0.19,0.27,0.6,0.51,0.5,0.76,0.62,0.23,0.47,0.6,S100_005_00000021_ANG.csv
0.42,0.39,0.34,0.16,0.89,0.77,0.86,0.87,0.94,0.95,0.65,0.52,0.85,0.42,0.87,0.45,0.56,S133_010_00000014_HPY.csv
0.57,0.21,0.8,0.35,0.84,0.76,0.47,0.53,0.9,0.73,0.57,0.18,0.96,0.44,0.87,0.42,0.4,S059_002_00000016_FER.csv
0.83,0.9,0.36,0.93,0.2,0.46,0.25,0.25,0.42,0.19,0.61,0.41,0.74,0.22,0.94,0.68,0.22,S074_002_00000015_SUR.csv
0.87,0.84,0.21,0.98,0.1,0.4,0.21,0.15,0.32,0.07,0.62,0.17,0.67,0.11,0.87,0.84,0.15,S082_001_00000015_SUR.csv
0.59,0.48,0.45,0.7,0.25,0.39,0.42,0.26,0.26,0.16,0.76,0.66,0.75,0.26,0.62,0.56,0.39,S032_001_00000022_SUR.csv
0.3,0.21,0.65,0.37,0.31,0.42,0.6,0.31,0.26,0.35,0.57,0.61,0.57,0.54,0.28,0.38,0.57,S130_007_00000019_ANG.csv
0.4,0.25,0.32,0.27,0.93,0.93,0.46,0.83,0.97,0.74,0.33,0.31,0.41,0.35,0.83,0.29,0.54,S138_005_00000015_HPY.csv
0.27,0.17,0.59,0.29,0.92,0.91,0.61,0.87,0.96,0.8,0.42,0.29,0.65,0.42,0.92,0.63,0.56,S116_007_00000015_HPY.csv
