 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,filename
0.51,0.64,0.7,0.93,0.43,0.08,0.3,0.43,0.41,0.36,0.5,0.53,0.25,0.55,0.82,0.79,0.28,20_SUR.csv
0.87,0.74,0.63,0.34,0.54,0.66,0.58,0.55,0.43,0.43,0.5,0.62,0.47,0.35,0.42,0.41,0.49,1_DIS.csv
0.76,0.77,0.34,0.45,0.88,0.82,0.58,0.83,0.95,0.75,0.38,0.28,0.62,0.32,0.81,0.6,0.48,30_HPY.csv
0.89,0.91,0.57,0.42,0.36,0.49,0.36,0.29,0.4,0.31,0.5,0.61,0.55,0.42,0.36,0.35,0.33,1_SAD.csv
0.77,0.69,0.68,0.41,0.37,0.31,0.39,0.47,0.46,0.4,0.53,0.71,0.45,0.46,0.45,0.35,0.49,21_ANG.csv
0.68,0.65,0.55,0.21,0.54,0.27,0.63,0.6,0.4,0.36,0.7,0.78,0.34,0.4,0.24,0.31,0.52,26_SAD.csv
0.91,0.99,0.54,0.97,0.33,0.16,0.26,0.31,0.4,0.37,0.64,0.77,0.43,0.28,0.86,0.77,0.25,27_SUR.csv
0.85,0.95,0.45,0.95,0.4,0.09,0.15,0.31,0.48,0.21,0.51,0.51,0.26,0.52,0.76,0.69,0.35,19_SUR.csv
0.9,0.97,0.3,0.78,0.37,0.12,0.37,0.4,0.36,0.32,0.57,0.46,0.32,0.38,0.38,0.33,0.27,26_SUR.csv
0.86,0.87,0.54,0.98,0.8,0.48,0.48,0.73,0.74,0.83,0.59,0.55,0.82,0.29,0.71,0.55,0.28,14_FER.csv
0.64,0.72,0.43,0.7,0.5,0.12,0.5,0.46,0.48,0.55,0.49,0.6,0.56,0.4,0.49,0.52,0.38,12_NUT.csv
0.68,0.83,0.24,0.46,0.35,0.39,0.39,0.3,0.44,0.62,0.36,0.53,0.5,0.41,0.35,0.38,0.27,16_NUT.csv
0.4,0.67,0.46,0.34,0.91,0.91,0.64,0.91,0.93,0.9,0.45,0.4,0.61,0.38,0.9,0.61,0.38,17_HPY.csv
0.73,0.78,0.42,0.71,0.35,0.12,0.25,0.55,0.4,0.28,0.48,0.7,0.32,0.44,0.42,0.46,0.38,19_ANG.csv
0.47,0.4,0.56,0.36,0.4,0.25,0.37,0.47,0.49,0.78,0.58,0.8,0.67,0.46,0.17,0.28,0.55,4_ANG.csv
0.64,0.85,0.24,0.38,0.37,0.42,0.37,0.31,0.39,0.53,0.35,0.56,0.36,0.36,0.32,0.42,0.29,15_NUT.csv
0.73,0.66,0.52,0.66,0.35,0.18,0.3,0.54,0.38,0.32,0.55,0.69,0.32,0.45,0.42,0.42,0.4,20_ANG.csv
0.93,0.91,0.55,0.61,0.84,0.79,0.42,0.66,0.74,0.88,0.49,0.52,0.73,0.33,0.7,0.66,0.47,15_FER.csv
0.88,0.9,0.51,0.35,0.47,0.55,0.42,0.64,0.44,0.4,0.62,0.5,0.49,0.36,0.73,0.49,0.39,1_FER.csv
0.89,0.92,0.53,0.3,0.34,0.42,0.27,0.26,0.48,0.33,0.39,0.69,0.62,0.46,0.3,0.36,0.36,2_SAD.csv
0.66,0.59,0.56,0.59,0.5,0.51,0.4,0.41,0.36,0.36,0.7,0.52,0.41,0.36,0.58,0.43,0.37,10_DIS.csv
0.7,0.66,0.53,0.25,0.47,0.24,0.61,0.52,0.37,0.42,0.65,0.76,0.33,0.4,0.29,0.25,0.56,27_SAD.csv
0.93,0.97,0.49,0.63,0.6,0.74,0.33,0.78,0.78,0.71,0.39,0.52,0.71,0.33,0.74,0.58,0.46,2_HPY.csv
0.65,0.61,0.25,0.73,0.72,0.7,0.45,0.78,0.79,0.54,0.54,0.56,0.61,0.41,0.63,0.48,0.37,12_SAD.csv
0.73,0.8,0.49,0.41,0.46,0.67,0.55,0.37,0.3,0.51,0.43,0.66,0.51,0.32,0.34,0.26,0.31,17_SAD.csv
0.91,0.97,0.49,0.78,0.36,0.2,0.23,0.48,0.34,0.41,0.59,0.59,0.41,0.35,0.78,0.66,0.28,5_SUR.csv
0.54,0.62,0.45,0.42,0.9,0.9,0.64,0.91,0.94,0.92,0.46,0.38,0.73,0.37,0.91,0.56,0.36,16_HPY.csv
