 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,filename
0.61,0.74,0.27,0.47,0.24,0.28,0.39,0.25,0.37,0.31,0.51,0.44,0.45,0.45,0.38,0.67,0.65,210_NUT.csv
0.83,0.68,0.36,0.78,0.36,0.47,0.25,0.17,0.52,0.22,0.82,0.4,0.63,0.5,0.57,0.54,0.58,330_NUT.csv
0.79,0.29,0.68,0.43,0.48,0.58,0.44,0.55,0.49,0.39,0.89,0.79,0.85,0.34,0.54,0.58,0.41,313_SAD.csv
0.66,0.9,0.33,0.89,0.27,0.35,0.43,0.43,0.46,0.34,0.74,0.48,0.73,0.28,0.85,0.89,0.38,315_SUR.csv
0.57,0.44,0.4,0.77,0.9,0.8,0.37,0.84,0.96,0.69,0.71,0.49,0.85,0.49,0.95,0.71,0.35,241_HPY.csv
0.76,0.7,0.34,0.63,0.89,0.88,0.42,0.83,0.97,0.75,0.36,0.27,0.66,0.43,0.98,0.74,0.37,181_HPY.csv
0.94,0.97,0.54,0.99,0.41,0.16,0.3,0.36,0.64,0.35,0.88,0.52,0.9,0.31,0.79,0.7,0.3,614_FER.csv
0.42,0.24,0.63,0.33,0.43,0.37,0.5,0.38,0.43,0.4,0.68,0.59,0.78,0.43,0.53,0.58,0.36,270_NUT.csv
0.83,0.87,0.5,0.85,0.39,0.28,0.48,0.66,0.58,0.45,0.72,0.42,0.81,0.34,0.96,0.88,0.46,465_SUR.csv
0.7,0.65,0.65,0.9,0.34,0.39,0.43,0.49,0.42,0.21,0.81,0.55,0.82,0.42,0.67,0.57,0.24,274_FER.csv
0.42,0.45,0.19,0.56,0.92,0.86,0.46,0.81,0.98,0.78,0.54,0.37,0.54,0.45,0.91,0.31,0.42,71_HPY.csv
0.88,0.77,0.59,0.96,0.27,0.24,0.3,0.36,0.41,0.32,0.69,0.44,0.78,0.39,0.66,0.74,0.24,14_FER.csv
0.43,0.39,0.78,0.72,0.44,0.47,0.45,0.26,0.37,0.51,0.72,0.94,0.76,0.7,0.19,0.56,0.2,362_ANG.csv
0.82,0.9,0.35,0.86,0.24,0.37,0.4,0.61,0.56,0.19,0.6,0.42,0.52,0.41,0.83,0.83,0.51,155_SUR.csv
0.91,0.98,0.43,0.89,0.38,0.51,0.27,0.33,0.59,0.16,0.77,0.35,0.79,0.41,0.95,0.9,0.45,65_SUR.csv
0.8,0.4,0.81,0.53,0.38,0.41,0.43,0.36,0.39,0.38,0.79,0.76,0.79,0.44,0.47,0.49,0.56,373_SAD.csv
0.88,0.95,0.66,0.93,0.57,0.6,0.42,0.65,0.75,0.5,0.74,0.73,0.85,0.35,0.96,0.9,0.38,45_SUR.csv
0.49,0.32,0.39,0.29,0.94,0.92,0.48,0.92,0.98,0.83,0.62,0.56,0.72,0.4,0.94,0.61,0.61,101_HPY.csv
0.78,0.74,0.25,0.63,0.86,0.87,0.55,0.87,0.96,0.76,0.49,0.3,0.81,0.49,0.95,0.72,0.45,31_HPY.csv
0.43,0.33,0.43,0.75,0.89,0.65,0.48,0.81,0.98,0.88,0.47,0.22,0.85,0.35,0.96,0.69,0.45,611_HPY.csv
0.67,0.58,0.73,0.49,0.4,0.58,0.38,0.58,0.53,0.41,0.88,0.89,0.77,0.49,0.38,0.18,0.58,103_SAD.csv
0.39,0.21,0.96,0.25,0.6,0.63,0.78,0.41,0.34,0.61,0.75,0.82,0.83,0.55,0.37,0.45,0.52,322_ANG.csv
0.92,0.97,0.43,0.75,0.25,0.25,0.23,0.3,0.48,0.19,0.68,0.36,0.79,0.38,0.93,0.94,0.46,125_SUR.csv
0.35,0.15,0.3,0.41,0.96,0.94,0.59,0.87,0.98,0.8,0.42,0.18,0.48,0.59,0.94,0.59,0.45,461_HPY.csv
0.4,0.35,0.3,0.61,0.91,0.82,0.63,0.83,0.96,0.55,0.68,0.4,0.66,0.41,0.89,0.55,0.62,231_HPY.csv
0.32,0.25,0.83,0.36,0.34,0.47,0.34,0.18,0.38,0.66,0.4,0.72,0.58,0.54,0.26,0.82,0.46,212_ANG.csv
