 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,filename
0.79,0.94,0.31,0.97,0.54,0.27,0.42,0.69,0.53,0.55,0.73,0.21,0.11,0.72,0.82,0.66,0.51,21M_SP_o_SUR.csv
0.62,0.87,0.51,0.47,0.93,0.83,0.58,0.94,0.98,0.88,0.27,0.36,0.28,0.43,0.99,0.62,0.41,14F_HA_o_HPY.csv
0.36,0.56,0.92,0.63,0.96,0.93,0.97,0.95,0.88,0.73,0.68,0.46,0.71,0.54,0.96,0.56,0.36,10F_AN_o_ANG.csv
0.7,0.88,0.4,0.95,0.41,0.4,0.34,0.44,0.56,0.75,0.5,0.75,0.47,0.55,0.63,0.78,0.48,11F_NE_c_NUT.csv
0.85,0.93,0.31,0.44,0.97,0.91,0.75,0.96,0.97,0.95,0.33,0.57,0.18,0.72,0.94,0.87,0.72,23M_HA_x_HPY.csv
0.89,0.95,0.56,0.99,0.5,0.56,0.61,0.47,0.38,0.33,0.33,0.19,0.36,0.55,0.96,0.79,0.62,43M_SP_o_SUR.csv
0.66,0.49,0.76,0.49,0.55,0.59,0.51,0.8,0.5,0.53,0.57,0.4,0.15,0.44,0.9,0.81,0.61,29M_SA_o_SAD.csv
0.88,0.95,0.24,0.82,0.92,0.81,0.46,0.93,0.98,0.82,0.41,0.4,0.3,0.69,0.96,0.9,0.59,21M_HA_x_HPY.csv
0.4,0.61,0.67,0.69,0.63,0.57,0.49,0.27,0.45,0.83,0.33,0.38,0.55,0.67,0.72,0.34,0.55,31M_NE_o_NUT.csv
0.77,0.92,0.57,0.79,0.81,0.69,0.69,0.92,0.84,0.85,0.51,0.46,0.64,0.41,0.99,0.78,0.38,38M_HA_x_HPY.csv
0.82,0.86,0.51,0.42,0.39,0.16,0.21,0.47,0.52,0.51,0.73,0.9,0.34,0.45,0.68,0.6,0.56,36M_SA_c_SAD.csv
0.79,0.96,0.44,0.87,0.4,0.22,0.47,0.42,0.38,0.4,0.53,0.73,0.39,0.48,0.69,0.9,0.66,37M_SA_o_SAD.csv
0.72,0.94,0.77,0.51,0.51,0.23,0.55,0.59,0.42,0.49,0.58,0.6,0.2,0.4,0.66,0.65,0.47,19F_NE_o_NUT.csv
0.57,0.45,0.34,0.66,0.64,0.6,0.63,0.61,0.5,0.39,0.55,0.67,0.4,0.7,0.5,0.81,0.59,21M_NE_c_NUT.csv
0.75,0.94,0.28,0.8,0.51,0.45,0.55,0.5,0.39,0.39,0.51,0.55,0.46,0.39,0.89,0.78,0.52,38M_NE_o_NUT.csv
0.45,0.52,0.69,0.82,0.29,0.28,0.42,0.54,0.36,0.81,0.56,0.91,0.55,0.78,0.23,0.36,0.41,05F_AN_c_ANG.csv
0.81,0.96,0.4,0.81,0.86,0.78,0.42,0.93,0.99,0.95,0.44,0.87,0.7,0.75,0.77,0.54,0.62,12F_HA_c_HPY.csv
0.89,0.89,0.53,0.92,0.45,0.4,0.31,0.64,0.71,0.78,0.65,0.77,0.88,0.62,0.77,0.64,0.36,08F_FE_o_FER.csv
0.94,1.0,0.25,0.98,0.16,0.19,0.43,0.36,0.3,0.5,0.64,0.88,0.35,0.61,0.63,0.75,0.41,14F_SP_o_SUR.csv
0.78,0.74,0.85,0.66,0.45,0.56,0.42,0.82,0.8,0.48,0.31,0.58,0.52,0.53,0.37,0.21,0.36,14F_SP_o_SUR.csv
0.84,0.89,0.75,0.36,0.69,0.4,0.61,0.72,0.59,0.74,0.6,0.63,0.78,0.32,0.81,0.82,0.56,15F_SA_o_SAD.csv
0.85,0.87,0.86,0.33,0.42,0.58,0.45,0.51,0.35,0.72,0.58,0.8,0.75,0.55,0.46,0.73,0.58,17F_SA_c_SAD.csv
0.85,0.95,0.61,0.84,0.56,0.73,0.41,0.66,0.53,0.62,0.31,0.24,0.51,0.39,0.91,0.87,0.57,32M_SA_o_SAD.csv
0.84,0.97,0.49,0.98,0.31,0.22,0.36,0.52,0.42,0.45,0.43,0.34,0.37,0.37,0.92,0.96,0.34,17F_SP_o_SUR.csv
0.83,0.76,0.39,0.97,0.46,0.59,0.37,0.5,0.36,0.28,0.68,0.78,0.46,0.54,0.42,0.49,0.41,28M_SA_c_SAD.csv
0.79,0.91,0.21,0.99,0.57,0.53,0.37,0.5,0.71,0.89,0.37,0.17,0.62,0.73,0.73,0.4,0.48,43M_FE_o_FER.csv
0.4,0.68,0.5,0.76,0.4,0.62,0.41,0.47,0.44,0.63,0.54,0.65,0.52,0.63,0.46,0.72,0.49,25M_NE_c_NUT.csv
0.86,0.97,0.16,0.89,0.92,0.6,0.57,0.9,0.95,0.95,0.44,0.64,0.41,0.68,0.87,0.36,0.49,39M_HA_c_HPY.csv
0.81,0.84,0.22,0.89,0.44,0.31,0.36,0.55,0.58,0.1,0.54,0.28,0.12,0.38,0.75,0.71,0.48,28M_NE_o_NUT.csv
0.87,0.98,0.44,0.94,0.32,0.18,0.35,0.25,0.31,0.55,0.56,0.89,0.55,0.79,0.33,0.74,0.51,36M_FE_c_FER.csv
0.68,0.69,0.88,0.7,0.47,0.35,0.48,0.73,0.41,0.69,0.83,0.86,0.68,0.49,0.56,0.52,0.54,06F_SA_c_SAD.csv
0.84,0.96,0.39,0.94,0.85,0.84,0.47,0.92,0.96,0.84,0.29,0.61,0.62,0.58,0.97,0.85,0.37,27M_HA_x_HPY.csv
0.58,0.92,0.31,0.55,0.52,0.58,0.7,0.47,0.65,0.52,0.33,0.33,0.43,0.47,0.8,0.85,0.53,41M_NE_o_NUT.csv
0.58,0.82,0.23,0.69,0.68,0.73,0.5,0.77,0.88,0.92,0.36,0.69,0.44,0.77,0.47,0.41,0.57,32M_HA_c_HPY.csv
0.86,0.93,0.59,0.3,0.8,0.81,0.81,0.87,0.67,0.76,0.41,0.34,0.16,0.46,0.95,0.92,0.82,23M_SA_o_SAD.csv
0.68,0.78,0.43,0.94,0.43,0.43,0.45,0.54,0.49,0.4,0.55,0.55,0.33,0.55,0.51,0.43,0.65,34M_NE_c_NUT.csv
0.42,0.69,0.33,0.78,0.48,0.28,0.55,0.53,0.4,0.47,0.54,0.72,0.45,0.68,0.33,0.62,0.49,30M_NE_c_NUT.csv
0.55,0.55,0.51,0.2,0.96,0.89,0.5,0.93,0.97,0.82,0.31,0.63,0.14,0.63,0.86,0.7,0.76,35M_HA_o_HPY.csv
0.79,0.96,0.22,0.98,0.77,0.37,0.48,0.92,0.94,0.7,0.3,0.48,0.53,0.62,0.96,0.86,0.45,30M_HA_x_HPY.csv
0.56,0.58,0.85,0.4,0.76,0.91,0.85,0.84,0.61,0.63,0.73,0.9,0.63,0.64,0.62,0.68,0.8,45M_AN_c_ANG.csv
0.51,0.49,0.5,0.51,0.43,0.43,0.63,0.49,0.35,0.58,0.62,0.64,0.22,0.61,0.38,0.65,0.64,24M_NE_c_NUT.csv
0.45,0.54,0.49,0.47,0.52,0.41,0.56,0.54,0.49,0.62,0.43,0.49,0.14,0.59,0.42,0.46,0.5,29M_NE_c_NUT.csv
0.53,0.64,0.47,0.65,0.45,0.56,0.64,0.38,0.31,0.56,0.67,0.74,0.33,0.63,0.36,0.72,0.55,03F_AN_c_ANG.csv
0.7,0.86,0.42,0.89,0.33,0.33,0.39,0.48,0.36,0.44,0.52,0.74,0.25,0.61,0.47,0.78,0.46,07F_NE_c_NUT.csv
0.95,0.99,0.18,0.99,0.36,0.65,0.22,0.5,0.51,0.6,0.46,0.58,0.85,0.52,0.82,0.73,0.55,32M_FE_o_FER.csv
0.46,0.53,0.91,0.86,0.68,0.33,0.61,0.79,0.46,0.44,0.7,0.51,0.71,0.43,0.76,0.73,0.4,30M_AN_o_ANG.csv
0.86,0.97,0.28,0.99,0.61,0.7,0.5,0.7,0.8,0.34,0.62,0.35,0.52,0.42,0.97,0.73,0.37,45M_SP_o_SUR.csv
0.59,0.84,0.46,0.52,0.9,0.86,0.74,0.92,0.94,0.75,0.43,0.53,0.32,0.42,0.95,0.77,0.52,17F_HA_o_HPY.csv
0.63,0.43,0.97,0.76,0.6,0.72,0.58,0.67,0.37,0.76,0.58,0.61,0.81,0.36,0.95,0.83,0.45,11F_AN_o_ANG.csv
0.93,0.98,0.57,0.98,0.39,0.69,0.46,0.51,0.4,0.28,0.81,0.83,0.37,0.54,0.59,0.66,0.62,34M_FE_c_FER.csv
0.45,0.73,0.59,0.59,0.5,0.21,0.68,0.56,0.41,0.46,0.71,0.74,0.46,0.53,0.64,0.71,0.56,20M_NE_o_NUT.csv
0.86,0.92,0.75,0.34,0.55,0.66,0.62,0.72,0.48,0.38,0.8,0.78,0.59,0.52,0.66,0.8,0.5,16F_SA_c_SAD.csv
0.56,0.57,0.54,0.62,0.91,0.88,0.74,0.95,0.97,0.74,0.35,0.5,0.53,0.52,0.96,0.74,0.42,07F_HA_o_HPY.csv
0.48,0.8,0.46,0.64,0.42,0.3,0.61,0.45,0.38,0.6,0.53,0.57,0.3,0.49,0.57,0.75,0.63,37M_NE_c_NUT.csv
0.45,0.66,0.43,0.8,0.46,0.22,0.57,0.52,0.37,0.38,0.49,0.58,0.32,0.59,0.55,0.8,0.44,30M_NE_o_NUT.csv
0.86,0.83,0.27,0.98,0.49,0.62,0.4,0.26,0.5,0.77,0.75,0.75,0.74,0.78,0.49,0.23,0.41,43M_FE_c_FER.csv
0.38,0.64,0.68,0.41,0.9,0.76,0.81,0.9,0.94,0.91,0.4,0.86,0.66,0.66,0.7,0.75,0.45,09F_HA_c_HPY.csv
0.94,0.99,0.26,0.97,0.37,0.5,0.31,0.49,0.43,0.23,0.55,0.7,0.38,0.55,0.49,0.61,0.46,28M_FE_c_FER.csv
0.69,0.81,0.33,0.26,0.88,0.69,0.63,0.86,0.97,0.76,0.42,0.62,0.48,0.46,0.97,0.63,0.63,03F_HA_o_HPY.csv
0.49,0.43,0.41,0.56,0.52,0.35,0.31,0.39,0.49,0.46,0.55,0.71,0.41,0.67,0.34,0.64,0.56,22M_NE_c_NUT.csv
0.36,0.49,0.95,0.22,0.9,0.91,0.94,0.97,0.81,0.83,0.76,0.68,0.76,0.49,0.95,0.66,0.58,33M_AN_o_ANG.csv
0.84,0.99,0.13,0.89,0.9,0.51,0.34,0.81,0.94,0.92,0.28,0.37,0.64,0.75,0.7,0.2,0.3,39M_HA_x_HPY.csv
0.81,0.92,0.33,0.94,0.58,0.36,0.5,0.75,0.65,0.35,0.59,0.58,0.64,0.32,0.94,0.67,0.39,22M_FE_o_FER.csv
0.71,0.84,0.22,0.56,0.33,0.39,0.44,0.38,0.52,0.73,0.29,0.23,0.39,0.66,0.76,0.69,0.66,43M_NE_o_NUT.csv
0.62,0.78,0.59,0.63,0.45,0.51,0.45,0.52,0.46,0.69,0.74,0.69,0.68,0.55,0.8,0.51,0.59,12F_NE_o_NUT.csv
0.3,0.63,0.86,0.13,0.78,0.89,0.95,0.81,0.41,0.62,0.65,0.57,0.34,0.42,0.89,0.57,0.63,17F_AN_o_ANG.csv
0.84,0.96,0.64,0.84,0.45,0.39,0.53,0.43,0.37,0.36,0.71,0.65,0.34,0.51,0.54,0.72,0.36,16F_FE_c_FER.csv
0.9,0.98,0.21,0.99,0.24,0.11,0.27,0.52,0.48,0.49,0.72,0.69,0.84,0.34,0.71,0.74,0.2,18F_FE_o_FER.csv
0.92,0.98,0.28,1.0,0.28,0.16,0.29,0.53,0.51,0.43,0.8,0.73,0.76,0.39,0.62,0.3,0.19,18F_FE_c_FER.csv
0.34,0.41,0.41,0.27,0.89,0.8,0.62,0.9,0.96,0.93,0.7,0.96,0.64,0.73,0.57,0.35,0.72,02F_HA_c_HPY.csv
0.39,0.24,0.51,0.3,0.91,0.83,0.67,0.91,0.96,0.82,0.34,0.59,0.34,0.53,0.94,0.7,0.59,24M_HA_x_HPY.csv
0.9,0.99,0.31,0.99,0.4,0.37,0.27,0.47,0.56,0.78,0.63,0.74,0.7,0.58,0.82,0.8,0.42,12F_FE_o_FER.csv
0.79,0.97,0.4,0.97,0.57,0.18,0.47,0.66,0.41,0.94,0.78,0.71,0.5,0.87,0.49,0.95,0.48,40M_SP_o_SUR.csv
